Title,BodyPart,Equipment,Level
Holman Elbow Plank to Renegade Row,abdominals,other,intermediate
Holman Straight Plank Weighted Hand Hill Climber,abdominals,other,intermediate
Holman Weighted Left Side Diagonal Pike,abdominals,other,intermediate
Holman Weighted Right Side Diagonal Pike,abdominals,other,intermediate
Holman Weighted W-Boat to Overhead Press,abdominals,other,intermediate
Holman Weighted Kneeling Lift,abdominals,other,intermediate
Holman Hips-Up Weighted Pull-Over,abdominals,other,intermediate
Holman Weighted Cross Punch,abdominals,other,intermediate
Holman Straight-Leg Boat Hover Chest Press,abdominals,other,intermediate
Holman Weighted Pike,abdominals,other,intermediate
Holman Feet-Elevated Wax-On Wax-Off,abdominals,other,intermediate
Holman Elbow Plank to Towel Pike,abdominals,other,intermediate
Holman Seated Killer Abs Overhead Press,abdominals,other,intermediate
Holman Straight Plank Alternating Weighted Open,abdominals,other,intermediate
Holman Weighted Killer Abs with Overhead Press,abdominals,other,intermediate
Holman Weighted Split-Leg Pike,abdominals,other,intermediate
Holman Towel Reverse Plank Heel Pull-in,abdominals,other,intermediate
Stick Twist,abdominals,other,intermediate
Roc Everest,abdominals,other,intermediate
Standing cable low-to-high twist,abdominals,cable,intermediate
Single-arm high-cable side bend,abdominals,cable,intermediate
Kneeling cable oblique crunch,abdominals,cable,intermediate
Kneeling cable crunch,abdominals,cable,intermediate
Rope Crunch,abdominals,cable,intermediate
Standing cable crunch,abdominals,cable,intermediate
Bosu Ball Cable Crunch With Side Bends,abdominals,cable,beginner
Standing Cable Wood Chop,abdominals,cable,intermediate
Cable reverse crunch,abdominals,cable,beginner
Cable Russian Twists,abdominals,cable,beginner
Pallof press with rotation,abdominals,cable,intermediate
Cable Seated Crunch,abdominals,cable,beginner
Cable Judo Flip,abdominals,cable,beginner
Exercise Ball Cable Crunch - Gethin Variation,abdominals,cable,intermediate
Standing cable high-to-low twist,abdominals,cable,intermediate
Bent-Over Reverse Cable Fly,abdominals,cable,intermediate
Standing Cable Crunch - Gethin Variation,abdominals,cable,intermediate
AM Cable Crunch,abdominals,cable,intermediate
Tyler Holt Weighted Knee-To-Chest Crunch,abdominals,cable,intermediate
Standing cable twist,abdominals,cable,intermediate
30 Cable Rope Crunch,abdominals,cable,intermediate
30 Cable Rope Oblique Crunch,abdominals,cable,intermediate
Cable lying twist on ball,abdominals,cable,intermediate
30 Cable Pallof Press,abdominals,cable,intermediate
30 Cable Reverse Crunch On Ball,abdominals,cable,intermediate
30 Cable Reverse Crunch,abdominals,cable,intermediate
Tyler Holt Cable Torso Twist,abdominals,cable,intermediate
Single-Arm Cable Outward-Facing Biceps Curl,abdominals,cable,intermediate
Biceps Rope Curl,abdominals,cable,intermediate
Kneeling Cable Crunches,abdominals,cable,intermediate
Ab Crunch Machine,abdominals,machine,intermediate
Smith machine straight-legged hip raise,abdominals,machine,intermediate
Machine crunch,abdominals,machine,intermediate
AM Ab Machine,abdominals,machine,intermediate
Smith machine V-up,abdominals,machine,intermediate
Elbow plank,abdominals,body only,intermediate
Bottoms Up,abdominals,body only,intermediate
Spider crawl,abdominals,body only,intermediate
Cocoons,abdominals,body only,intermediate
Cross-Body Crunch,abdominals,body only,intermediate
Elbow-to-knee crunch,abdominals,body only,intermediate
Decline Crunch,abdominals,body only,intermediate
Hanging toes-to-bar,abdominals,body only,intermediate
Hanging Oblique Knee Raise,abdominals,body only,intermediate
Gorilla Chin/Crunch,abdominals,body only,beginner
Hanging leg raise,abdominals,body only,intermediate
Mountain climber,abdominals,body only,intermediate
Ab bicycle,abdominals,body only,intermediate
3/4 sit-up,abdominals,body only,intermediate
Reverse crunch,abdominals,body only,intermediate
Crunches,abdominals,body only,intermediate
Dead bug reach,abdominals,body only,intermediate
Crunch - Hands Overhead,abdominals,body only,beginner
V-up,abdominals,body only,intermediate
Stomach Vacuum,abdominals,body only,beginner
Russian twist,abdominals,body only,intermediate
Flat Bench Lying Leg Raise,abdominals,body only,intermediate
Knees tucked crunch,abdominals,body only,intermediate
Butt-Ups,abdominals,body only,beginner
Feet-elevated oblique crunch,abdominals,body only,intermediate
Bent-knee reverse crunch,abdominals,body only,intermediate
Alternating heel-touch,abdominals,body only,intermediate
Suspended Reverse Crunch,abdominals,body only,intermediate
Lying bench reverse crunch,abdominals,body only,intermediate
Sit-up,abdominals,body only,intermediate
Side Bridge,abdominals,body only,intermediate
Lying oblique crunch,abdominals,body only,intermediate
Janda Sit-Up,abdominals,body only,beginner
Leg Pull-In,abdominals,body only,beginner
Side Jackknife,abdominals,body only,intermediate
Scissor Kick,abdominals,body only,intermediate
Toe Touchers,abdominals,body only,intermediate
Lower Back Curl,abdominals,body only,intermediate
Exercise ball torso rotation,abdominals,body only,intermediate
Seated Overhead Stretch,abdominals,body only,intermediate
Overhead Stretch,abdominals,body only,intermediate
Seated Scissor Kick,abdominals,body only,intermediate
Partner resistance standing twist,abdominals,body only,intermediate
Cross Crunch,abdominals,body only,beginner
Full Moon,abdominals,body only,beginner
Hanging knee raise with manual resistance,abdominals,body only,beginner
Straight-Legged Hip Raise,abdominals,body only,intermediate
Wall mountain climber,abdominals,body only,intermediate
Skin The Cat To Push-Up,abdominals,body only,intermediate
Partner lying leg raise with lateral throw down,abdominals,body only,beginner
Hanging leg raise with throw down,abdominals,body only,beginner
Partner sit-up with high-five,abdominals,body only,beginner
Exercise ball knee roll-in,abdominals,body only,intermediate
Partner lying leg raise with throw down,abdominals,body only,beginner
Crab toe-touch,abdominals,body only,intermediate
Side kick-through,abdominals,body only,intermediate
Partner target sit-up,abdominals,body only,beginner
Suspended Crunch,abdominals,body only,beginner
Jump Lunge,abdominals,body only,intermediate
Side plank hip dip,abdominals,body only,intermediate
Elbow plank jack,abdominals,body only,intermediate
Exercise ball V-up,abdominals,body only,intermediate
Standing torso twist stretch,abdominals,body only,intermediate
Slalom jumps,abdominals,body only,intermediate
Bear crawl,abdominals,body only,intermediate
Crab single-arm reach,abdominals,body only,intermediate
Side lunge cross-body heel-touch,abdominals,body only,intermediate
Alligator Crawl,abdominals,body only,intermediate
Lying cross-over lower back stretch,abdominals,body only,intermediate
Half bird dog,abdominals,body only,intermediate
Shoulder tap,abdominals,body only,intermediate
Double crunch,abdominals,body only,intermediate
Flutter kick,abdominals,body only,intermediate
Sprawl,abdominals,body only,intermediate
Spider plank jack,abdominals,body only,intermediate
Pillar-To-Plank,abdominals,body only,intermediate
Alternating High Knee Raise,abdominals,body only,intermediate
Sumo Squat Pulse,abdominals,body only,intermediate
Line-Drill Foot Work,abdominals,body only,intermediate
Plank Fire Hydrants,abdominals,body only,intermediate
Banded jumping jack,abdominals,body only,intermediate
Shin hug,abdominals,body only,intermediate
FYR Bear Crawl Fire Feet,abdominals,body only,intermediate
Bear crawl up-down,abdominals,body only,intermediate
FYR Crab Kick,abdominals,body only,intermediate
Bear crawl hold,abdominals,body only,intermediate
Traveling bear crawl,abdominals,body only,intermediate
Single-leg V-up,abdominals,body only,intermediate
FYR Bear Crawl Shoulder Tap,abdominals,body only,intermediate
Alternating single-leg sprawl,abdominals,body only,intermediate
Wide mountain climber,abdominals,body only,intermediate
Plank leg raise,abdominals,body only,intermediate
Glute bridge step-out,abdominals,body only,intermediate
Knee up-down,abdominals,body only,intermediate
FYR Sprawl,abdominals,body only,intermediate
Reach crunch,abdominals,body only,intermediate
FYR Push-Up Plank Hold,abdominals,body only,intermediate
FYR Hollow-Body Rock,abdominals,body only,intermediate
V-up plus knee-to-chest combo,abdominals,body only,intermediate
Side plank lateral raise,abdominals,body only,intermediate
Superhero burpee,abdominals,body only,intermediate
Hollow-body abduction,abdominals,body only,intermediate
FYR Hollow Hold,abdominals,body only,intermediate
Tip-toe crunch,abdominals,body only,intermediate
Knee-to-nose pulse,abdominals,body only,intermediate
Plank walk-out,abdominals,body only,intermediate
FYR V-Up,abdominals,body only,intermediate
Long sit-up,abdominals,body only,intermediate
FYR Breakdancer,abdominals,body only,intermediate
Seated leg lift,abdominals,body only,intermediate
Gorilla burpee,abdominals,body only,intermediate
Knee-in to V-out,abdominals,body only,intermediate
Bear crawl push-up,abdominals,body only,intermediate
FYR Front Step,abdominals,body only,intermediate
Plank reach,abdominals,body only,intermediate
Eiffel Tower leg raise,abdominals,body only,intermediate
Straight-arm plank,abdominals,body only,intermediate
Plank up-down,abdominals,body only,intermediate
Frog kick,abdominals,body only,intermediate
FYR Knees to Chest,abdominals,body only,intermediate
Front kick-through,abdominals,body only,intermediate
FYR Sit-Up,abdominals,body only,intermediate
FYR Leg Lift,abdominals,body only,intermediate
TBS Toes-to-bar,abdominals,body only,intermediate
FYR Mountain Climber,abdominals,body only,intermediate
Roman Chair Side Ups,abdominals,body only,intermediate
Push-Up Roll Out - Gethin Variation,abdominals,body only,intermediate
Cross-Body Crunch - Gethin Variation,abdominals,body only,intermediate
Decline leg lift with twist,abdominals,body only,intermediate
Hanging Leg Raise - Variation Gethin,abdominals,body only,intermediate
Butterfly crunch,abdominals,body only,intermediate
Cross-body mountain climber,abdominals,body only,intermediate
Flat Bench Lying Leg Raise - Gethin Variation,abdominals,body only,intermediate
Lying leg lift,abdominals,body only,intermediate
Hanging alternating single-leg raise,abdominals,body only,intermediate
Plank Walk,abdominals,body only,intermediate
Sit-Up - Gethin Variation,abdominals,body only,intermediate
Plank Push-Up,abdominals,body only,intermediate
Decline crunch-,abdominals,body only,intermediate
Alternating lying leg raise,abdominals,body only,intermediate
Decline leg lift,abdominals,body only,intermediate
Crunch - Gethin Variation,abdominals,body only,intermediate
Plank - Gethin Variation,abdominals,body only,intermediate
Barbell floor wiper,abdominals,body only,intermediate
Prison Push-Up,abdominals,body only,intermediate
McGill Modified Curl-Up,abdominals,body only,intermediate
Cross-body toe-touch,abdominals,body only,intermediate
Toy soldier,abdominals,body only,intermediate
Natural Glute Ham Raise with Stability Ball,abdominals,body only,intermediate
Lateral ape,abdominals,body only,intermediate
Hollow-body knee tuck,abdominals,body only,intermediate
HM Air Jumping Rope,abdominals,body only,intermediate
HM Alternating Lunge Reach,abdominals,body only,intermediate
HM Alternating Side Plank Reach,abdominals,body only,intermediate
HM Superman Plank,abdominals,body only,intermediate
HM Table Pose,abdominals,body only,intermediate
HM Toe Touch,abdominals,body only,intermediate
HM Right Side Bird-Dog,abdominals,body only,intermediate
HM Right Side Crunch,abdominals,body only,intermediate
HM Bicycle,abdominals,body only,intermediate
HM Bird-Dog Plank,abdominals,body only,intermediate
HM Boat Pose,abdominals,body only,intermediate
HM Bottoms Up,abdominals,body only,intermediate
HM Bridge,abdominals,body only,intermediate
HM Running Man Crunch,abdominals,body only,intermediate
HM Seated Twist,abdominals,body only,intermediate
HM Side-Bend Pose,abdominals,body only,intermediate
HM Side-Plank Arm Wrap,abdominals,body only,intermediate
HM Side-Plank with Hip Touch,abdominals,body only,intermediate
HM Side-Plank with Kick,abdominals,body only,intermediate
HM Side V-Up,abdominals,body only,intermediate
HM Crab Crunch,abdominals,body only,intermediate
HM Cross-Over Crunch,abdominals,body only,intermediate
HM Crunch Pulse,abdominals,body only,intermediate
HM Dead Bug,abdominals,body only,intermediate
HM Single-Leg Inchworm,abdominals,body only,intermediate
HM Floor Jack,abdominals,body only,intermediate
HM Floor Wiper,abdominals,body only,intermediate
HM Floor Kick,abdominals,body only,intermediate
HM Sit-Up,abdominals,body only,intermediate
HM Slow Mountain Climber,abdominals,body only,intermediate
HM Slow Sit-Up,abdominals,body only,intermediate
HM Half-Up,abdominals,body only,intermediate
HM Hollow-Body Pulse,abdominals,body only,intermediate
HM Hollow Hold,abdominals,body only,intermediate
HM Inchworm,abdominals,body only,intermediate
HM Right Side Hollow Hold with Pulse,abdominals,body only,intermediate
HM Reverse Crunch with Frisbee,abdominals,body only,intermediate
HM Left Side Bird-Dog,abdominals,body only,intermediate
HM Left Side Crunch,abdominals,body only,intermediate
HM Left Side Hollow Hold With Pulse,abdominals,body only,intermediate
HM Reverse Crunch,abdominals,body only,intermediate
HM Low Lunge With External Twist And Arm Reach,abdominals,body only,intermediate
HM Mountain Climber,abdominals,body only,intermediate
HM Prison Sit-Up,abdominals,body only,intermediate
HM Plank Alternating Hip-Dip,abdominals,body only,intermediate
HM Tuck-Up Get-Up,abdominals,body only,intermediate
HM Flutter Kick,abdominals,body only,intermediate
HM Plank,abdominals,body only,intermediate
McGill Pull-Up,abdominals,body only,intermediate
AM Leg Lift,abdominals,body only,intermediate
AM Decline Abs,abdominals,body only,intermediate
Hanging crunch,abdominals,body only,intermediate
Tyler Holt Hanging Toes-To-Bar,abdominals,body only,intermediate
Side plank,abdominals,body only,intermediate
Bird dog-,abdominals,body only,intermediate
Single-leg curl up,abdominals,body only,intermediate
Single-kettlebell windmill,abdominals,body only,intermediate
UNS Foam Roll Thigh,abdominals,body only,intermediate
UNS Inverted row,abdominals,body only,intermediate
UNS T-spine rotation with reach,abdominals,body only,intermediate
UNS Quadruped thoracic rotation,abdominals,body only,intermediate
UNS Pec stretch,abdominals,body only,intermediate
UNS Lat stretch,abdominals,body only,intermediate
UNS Foam Roll,abdominals,body only,intermediate
UNS Foam Roll Lats,abdominals,body only,intermediate
UNS Rocking Adductor Stretch,abdominals,body only,intermediate
UNS Bird Dog,abdominals,body only,intermediate
UNS Jumping Jack,abdominals,body only,intermediate
Ab wheel roll-out,abdominals,body only,intermediate
Bench mountain climber,abdominals,body only,intermediate
Feet-elevated bench side plank,abdominals,body only,intermediate
Cross-body sit-up,abdominals,body only,intermediate
Decline kayak,abdominals,body only,intermediate
30 Decline Reverse Crunch,abdominals,body only,intermediate
Decline sit-up twist,abdominals,body only,intermediate
30 Flat Bench Leg Raise,abdominals,body only,intermediate
30 Flutter Kick,abdominals,body only,intermediate
Chin-up crunch,abdominals,body only,intermediate
30 Gorilla Chin Oblique Crunch,abdominals,body only,intermediate
Half Turkish get-up,abdominals,body only,intermediate
30 Hanging Oblique Crunch,abdominals,body only,intermediate
30 Hollow-Body Hold,abdominals,body only,intermediate
Parallel bars knee raise,abdominals,body only,intermediate
30 Landmine Twist,abdominals,body only,intermediate
Parallel bars leg raise,abdominals,body only,intermediate
Otis-up-,abdominals,body only,intermediate
30 Shoulder Tap,abdominals,body only,intermediate
30 Spider Crawl,abdominals,body only,intermediate
Spider crunch,abdominals,body only,intermediate
Toe-touch,abdominals,body only,intermediate
30 Hanging Toes-To-Bar,abdominals,body only,intermediate
30 V-Up,abdominals,body only,intermediate
Cocoon crunch,abdominals,body only,intermediate
Bench oblique crunch,abdominals,body only,intermediate
Full moon-,abdominals,body only,intermediate
Push-up to side plank,abdominals,body only,intermediate
Tyler Holt V-Up,abdominals,body only,intermediate
Tyler Holt Plank,abdominals,body only,intermediate
Tyler Holt Hip-Dip,abdominals,body only,intermediate
Suicides,abdominals,body only,intermediate
Holman Towel Straight Plank Jack,abdominals,body only,intermediate
Holman Towel Hill Climber,abdominals,body only,intermediate
Holman Towel Elbow Plank Jack,abdominals,body only,intermediate
Holman Towel Elbow Plank Pike,abdominals,body only,intermediate
Holman Towel Straight Plank Hand Reach,abdominals,body only,intermediate
Holman Towel Wax-On Wax-Off,abdominals,body only,intermediate
Holman Towel Wide Hill Climber,abdominals,body only,intermediate
Holman Towel Dirty Dog,abdominals,body only,intermediate
Holman Straight Plank Shoulder Tap,abdominals,body only,intermediate
Holman Killer Abs,abdominals,body only,intermediate
Holman Straight Plank Split Jack,abdominals,body only,intermediate
Holman Elbow Plank Swim,abdominals,body only,intermediate
Holman Elbow Plank Saw,abdominals,body only,intermediate
Holman Feet-Elevated Straight Plank Toe-Tap Series,abdominals,body only,intermediate
Holman Elbow Plank Pike Pull,abdominals,body only,intermediate
Holman Hand-Elevated Walk-Over Push-Up,abdominals,body only,intermediate
Holman Hands-Elevated Hill Climber,abdominals,body only,intermediate
Holman Seated Pike,abdominals,body only,intermediate
Holman Feet-Elevated Up-Down Plank,abdominals,body only,intermediate
Holman Feet-Elevated Hand Tap,abdominals,body only,intermediate
Holman Reverse Straight Plank with Alternating Heel Pull-In,abdominals,body only,intermediate
Holman Elbow Plank,abdominals,body only,intermediate
Holman Straight Plank Squat Thrust,abdominals,body only,intermediate
Holman Alternating Single-Leg Pike,abdominals,body only,intermediate
Holman Knee Pull-In Crunch,abdominals,body only,intermediate
Holman Straight Plank with Hand Tap,abdominals,body only,intermediate
Holman Straight Plank with Dirty Dog,abdominals,body only,intermediate
Holman Elbow Plank Roll,abdominals,body only,intermediate
Holman Froggy Push-Up,abdominals,body only,intermediate
Holman Straight Plank Hand Tap to Shoulder Tap,abdominals,body only,intermediate
Holman In-Out Straight Plank,abdominals,body only,intermediate
Holman Bicycle,abdominals,body only,intermediate
Holman Alternating Diagonal Knee Pull-in,abdominals,body only,intermediate
Holman Elbow Plank with Step-Out,abdominals,body only,intermediate
Holman Alternating Slow L-Raise,abdominals,body only,intermediate
Holman Feet-Elevated Plank with Shoulder Tap,abdominals,body only,intermediate
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,abdominals,body only,intermediate
Holman Feet-Elevated Up-Down Elbow Plank,abdominals,body only,intermediate
Holman Feet-Elevated Plank Pike Pull,abdominals,body only,intermediate
Holman Feet-Elevated Alternating Single-Leg Hip Raise,abdominals,body only,intermediate
Holman Feet-Elevated Plank Pike Pull to Push-Up,abdominals,body only,intermediate
Holman Standing Heel Click,abdominals,body only,intermediate
Holman Straight Plank Right-Left Jack to Split Jack,abdominals,body only,intermediate
Holman Elbow Plank Jack to Ninja Knees,abdominals,body only,intermediate
Holman Right Side Elbow Plank with Left Leg Swing,abdominals,body only,intermediate
Holman Left Side Elbow Plank with Right Leg Swing,abdominals,body only,intermediate
Holman Straight Plank with Alternating Diagonal Sit-Back,abdominals,body only,intermediate
Holman Boat Press with Leg Extension,abdominals,body only,intermediate
Holman Shoulder Tap to Dirty Dog,abdominals,body only,intermediate
Holman Standing Russian Twist,abdominals,body only,intermediate
Holman Hovering Plank with Shoulder Tap,abdominals,body only,intermediate
Holman Elbow Plank to Stacked Plank Hip Drop,abdominals,body only,intermediate
Holman Elbow Plank to Walk-Up Pike,abdominals,body only,intermediate
Holman Hill Climber,abdominals,body only,intermediate
Holman Straight Plank Pike to Renegade Row,abdominals,body only,intermediate
Holman Alternating Hip Drop to Push-Up,abdominals,body only,intermediate
Holman Crab Kick,abdominals,body only,intermediate
Holman Wounded Bear Crawl,abdominals,body only,intermediate
Holman Alternating Crab Reach,abdominals,body only,intermediate
Holman Hovering Panther Core Stabilizer,abdominals,body only,intermediate
Holman Burpee to Forward Lunge,abdominals,body only,intermediate
Holman Seated Knee Pull-In Series,abdominals,body only,intermediate
Holman Elbow Plank Pike,abdominals,body only,intermediate
Holman Elbow Plank Jack to Straight Plank Split Jack,abdominals,body only,intermediate
Holman Boat Pull-Over,abdominals,body only,intermediate
Holman Squat Pulse to Plyometric Jump,abdominals,body only,intermediate
Holman Hands Down Heel Click,abdominals,body only,intermediate
Holman Straight Plank to Kick-Up,abdominals,body only,intermediate
Holman Hands-Elevated Split Jack,abdominals,body only,intermediate
Holman Feet-Elevated Plank Reach,abdominals,body only,intermediate
Holman Hand-Elevated Side Plank Semicircle,abdominals,body only,intermediate
Holman Hands-Elevated Straight Plank Pike,abdominals,body only,intermediate
Holman Alternating Rolling Elbow Plank,abdominals,body only,intermediate
Holman Elbow Plank Jack,abdominals,body only,intermediate
Holman Squat Thrust to Alternating Knee-In,abdominals,body only,intermediate
Holman Supine Double Pike,abdominals,body only,intermediate
Holman Elbow Plank Alternating Pike,abdominals,body only,intermediate
Holman Seated Killer Abs,abdominals,body only,intermediate
Holman Side Plank Hip Drop,abdominals,body only,intermediate
Holman Wide Hill Climber,abdominals,body only,intermediate
Holman Straight-Legged Bicycle,abdominals,body only,intermediate
Holman Stair Toe Tap,abdominals,body only,intermediate
Holman Elbow Plank Ninja,abdominals,body only,intermediate
Holman Traveling Stair Climb Push-Up,abdominals,body only,intermediate
Holman Hands-Elevated Burpee,abdominals,body only,intermediate
Holman Straight Plank Donkey Kick,abdominals,body only,intermediate
